time,acc-side,acc-up/down,acc-front/back
1566152804805,-1.03,3.07,-1.46
1566152804826,-0.54,0.42,-1.34
1566152804846,-1.92,-4.06,-3.99
1566152804866,-3.91,-4.14,-8.39
1566152804886,-3.07,-6.55,-5.21
1566152804906,-1.92,-4.91,-4.75
1566152804926,-0.54,-2.26,0.96
1566152804947,-3.53,4.02,-0.31
1566152804968,1.61,17.47,-2.64
1566152804988,6.9,28.24,-16.52
1566152805008,2.49,3.07,1.99
1566152805028,-3.1,29.28,-3.99
1566152805048,-2.57,17.63,-0.77
1566152805068,-2.07,22.38,-2.8
1566152805088,-0.42,18.16,-0.27
1566152805109,-0.5,14.29,-0.23
1566152805129,-0.42,11.69,-0.38
1566152805149,0.23,7.43,-0.57
1566152805169,1.26,4.75,-1.61
1566152805189,1,2.64,-1
1566152805210,2.41,-0.54,-2.53
1566152805231,2.91,-4.06,-6.17
1566152805251,1.95,-6.05,-6.82
1566152805271,0.5,-4.91,-3.56
1566152805291,-0.19,-1.88,-2.95
1566152805311,1.49,0.57,-2.22
1566152805331,2.8,7.36,-4.37
1566152805351,-3.72,29.39,-7.63
1566152805372,1.76,10.92,-7.28
1566152805392,4.02,26.02,-4.79
1566152805413,5.06,20.27,-0.77
1566152805433,3.83,22.3,-4.45
1566152805454,3.64,19.2,-1.61
1566152805474,3.49,14.64,0.23
1566152805494,2.34,10.81,-0.5
1566152805514,1.11,7.2,-1.8
1566152805534,-0.54,3.1,-2.07
1566152805554,-0.69,0.92,-0.92
1566152805574,-1.07,-0.11,-0.96
1566152805594,-2.76,-1.8,-4.83
1566152805614,-3.99,-4.83,-6.74
1566152805634,-3.18,-6.44,-5.36
1566152805654,-1.03,-4.68,-3.49
1566152805674,0.11,-1.3,1.11
1566152805694,-2.22,3.53,-0.96
1566152805714,-0.08,11.27,-3.68
1566152805734,5.82,30.43,-8.81
1566152805754,1.15,9.58,-2.72
1566152805774,-5.25,23.64,-4.18
1566152805794,-3.45,22.88,4.02
1566152805814,-3.68,22.69,-2.64
1566152805834,-0.46,18.89,-0.69
1566152805854,0.77,15.67,-0.42
1566152805874,-0.15,12.38,-1.8
1566152805894,1.3,7.59,-1.72
1566152805914,1.46,6.67,-0.34
1566152805934,0.88,2.84,0.23
1566152805954,1.07,-0.96,-2.95
1566152805974,3.37,-3.41,-6.74
1566152805994,3.07,-4.68,-6.71
1566152806014,1.84,-5.44,-3.56
1566152806034,0.54,-3.26,-2.64
